F1;F6;F193;F12;F14;F15;F16;F26;F72;F99;S;Busy;Exting;Decade;Car;Nozzle;Flow;Long
1146;1;1;2;2;1;4;2;0;1;30;76;30;6;4;2;7;0
1146;0;1;2;1;1;5;10;0;0;1;45;17;6;2;2;7;0
1146;0;1;2;2;1;5;9;0;0;45;199;94;6;4;2;7;0
1146;0;2;2;1;1;5;5;0;0;48;219;87;6;5;1;3,5;0
1146;0;2;2;1;1;5;8;0;0;20;133;34;6;3;2;7;0
1146;1;1;9;1;1;5;6;0;0;2;34;3;6;1;1;3,5;0
1146;0;1;2;2;908;5;9;0;0;80;302;82;6;4;3;10,5;0
1146;0;1;2;1;1;5;12;0;0;24;67;13;6;3;2;7;0
1146;0;2;2;1;1;4;7;0;0;30;130;10;6;2;1;3,5;0
1146;0;1;2;2;908;5;2;0;0;20;61;18;6;3;2;7;0
1146;1;0;6;0;0;0;4;0;0;4;12;3;7;2;1;3,5;0
1146;1;0;6;0;0;0;3;0;0;5;24;5;7;1;1;3,5;0
1146;1;2;2;4;1;4;8;0;1;15;54;27;7;4;2;7;0
1146;0;0;3;1;1;5;9;0;0;34;288;123;7;3;2;7;0
1146;0;2;2;1;1;5;12;0;0;42;269;91;7;3;3;10,5;0
1146;0;2;2;1;1;4;6;0;0;2;52;7;7;3;1;3,5;0
1146;0;0;6;0;0;0;8;0;0;15;42;9;7;6;1;3,5;0
1146;0;1;2;1;1;5;15;0;0;18;142;32;7;3;2;7;0
1146;0;0;3;1;1;5;13;0;0;150;1086;339;7;3;2;7;0
1146;0;0;6;0;0;0;2;0;0;4;38;14;8;2;1;3,5;0
1146;0;1;2;1;1;5;15;0;0;8;80;19;8;4;1;3,5;0
1146;0;1;2;1;1;5;5;0;0;50;160;24;8;3;2;7;0
1146;1;0;6;0;0;0;3;0;0;20;75;26;8;1;1;3,5;0
1146;1;1;2;1;1;5;5;0;0;10;32;6;8;2;2;7;0
1146;1;1;2;1;1;5;6;0;0;8;80;14;8;2;1;3,5;0
